,HOUSE_TYPE,NEIGHBORHOOD,GROSS_AREA,NET_AREA,NUMBER_OF_ROOMS,AGE_OF_BUİLDİNG,FLOOR_LOCATION,TOTALNUMBER_OF_FLOORS,TYPE_OF_HEATING,NUMBER_OF_BATHROOMS,IS_THERE_BALCONY,IS_IT_FURNISHED,WHO_IS_AT_HOME,ON_BUILDINGS,NAME_OF_BUILDINGS,DUES,AVAILABLE_FOR_CREDIT,TITLE_DEED,WHO_IS_THE_SELLER,IS_IT_VIEWABLE,PRICE
396,Daire,Gürpınar Mh.,150,120,3+1,0,1,6,Doğalgaz (Kombi),2,Yok,Hayır,Mülk Sahibi,Evet,Gürpınar Konakları,400,Hayır,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.000.000 TL
Kredi Teklifleri"
397,Daire,Gürpınar Mh.,150,120,3+1,0,1,6,Doğalgaz (Kombi),2,Yok,Hayır,Mülk Sahibi,Evet,Gürpınar Konakları,400,Hayır,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.000.000 TL
Kredi Teklifleri"
398,Daire,Adnan Kahveci Mah.,125,105,2+1,5-10 arası,Bahçe Katı,8,Doğalgaz (Kombi),2,Yok,Hayır,Kiracılı,Evet,Adel Palas,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.500.000 TL
Kredi Teklifleri"
399,Daire,Barış Mh.,145,125,3+1,21-25 arası,1,9,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,100,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.550.000 TL
Kredi Teklifleri"
400,Daire,Kavaklı Mh.,120,110,2+1,4,1,3,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Evet,Ayazma Konakları,450,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.650.000 TL
Kredi Teklifleri"
401,Daire,Barış Mh.,239,188,3+1,3,6,11,Merkezi,2,Var,Hayır,Kiracılı,Evet,Westside İstanbul,Belirtilmemiş,Evet,Kat İrtifaklı,Emlak Ofisinden,Hayır,"7.000.000 TL
Kredi Teklifleri"
402,Daire,Yakuplu Mah.,110,100,2+1,0,1,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.488.000 TL
Kredi Teklifleri"
403,Daire,Kavaklı Mh.,350,300,7+1,1,4,5,Doğalgaz (Kombi),3,Var,Hayır,Boş,Evet,Şehri Beyaz Konakları 2,Belirtilmemiş,Hayır,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"7.440.000 TL
Kredi Teklifleri"
404,Daire,Kavaklı Mh.,115,110,2+1,0,Bahçe Katı,5,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,Dora Park 7,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.975.000 TL
Kredi Teklifleri"
405,Daire,Adnan Kahveci Mah.,145,130,3+1,4,4,5,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,Belirtilmemiş,400,Evet,Kat Mülkiyetli,Hayır,"3.700.000 TL
Kredi Teklifleri",
406,Daire,Cumhuriyet Mah.,140,130,3+1,0,3,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,40,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.200.000 TL
Kredi Teklifleri"
407,Daire,Cumhuriyet Mah.,140,130,3+1,0,3,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,40,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.200.000 TL
Kredi Teklifleri"
408,Daire,Marmara Mah.,110,95,2+1,0,Bahçe Katı,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.650.000 TL
Kredi Teklifleri"
409,Daire,Adnan Kahveci Mah.,185,160,3+1,16-20 arası,2,12,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.150.000 TL
Kredi Teklifleri"
410,Daire,Kavaklı Mh.,127,107,2+1,5-10 arası,2,5,Merkezi (Pay Ölçer),2,Var,Hayır,Mülk Sahibi,Evet,Bey Kasrı Konakları,1.250,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.500.000 TL
Kredi Teklifleri"
411,Daire,Adnan Kahveci Mah.,175,158,3+1,16-20 arası,3,14,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Evet,Yeşilkent Sitesi 3,400,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.250.000 TL
Kredi Teklifleri"
412,Daire,Adnan Kahveci Mah.,110,100,2+1,4,Bahçe Katı,5,Merkezi (Pay Ölçer),2,Var,Hayır,Mülk Sahibi,Evet,Ahenk İstanbul,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.350.000 TL
Kredi Teklifleri"
413,Daire,Adnan Kahveci Mah.,110,100,2+1,4,Bahçe Katı,5,Merkezi (Pay Ölçer),2,Var,Hayır,Mülk Sahibi,Evet,Ahenk İstanbul,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.350.000 TL
Kredi Teklifleri"
414,Daire,Marmara Mah.,100,80,1+1,0,2,10,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,İn Mari,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"3.800.000 TL
Kredi Teklifleri"
415,Daire,Yakuplu Mah.,230,200,4+2,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.050.000 TL
Kredi Teklifleri"
416,Daire,Adnan Kahveci Mah.,90,70,1+1,0,12,23,Merkezi (Pay Ölçer),1,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.500.000 TL
Kredi Teklifleri"
417,Daire,Barış Mh.,140,120,3+1,16-20 arası,Yüksek Giriş,14,Doğalgaz (Kombi),1,Yok,Hayır,Kiracılı,Hayır,Belirtilmemiş,230,Evet,Kat Mülkiyetli,Hayır,"2.650.000 TL
Kredi Teklifleri",
418,Daire,Cumhuriyet Mah.,145,130,3+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"1.900.000 TL
Kredi Teklifleri"
419,Daire,Büyükşehir Mh.,85,75,2+1,21-25 arası,8,12,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.750.000 TL
Kredi Teklifleri"
420,Daire,Adnan Kahveci Mah.,170,150,3+1,16-20 arası,12,14,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Hayır,Belirtilmemiş,280,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.860.000 TL
Kredi Teklifleri"
421,Daire,Adnan Kahveci Mah.,170,150,3+1,16-20 arası,12,14,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Hayır,Belirtilmemiş,280,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.860.000 TL
Kredi Teklifleri"
422,Daire,Yakuplu Mah.,155,140,3+1,16-20 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.300.000 TL
Kredi Teklifleri"
423,Daire,Yakuplu Mah.,155,140,3+1,16-20 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.300.000 TL
Kredi Teklifleri"
