,HOUSE_TYPE,NEIGHBORHOOD,GROSS_AREA,NET_AREA,NUMBER_OF_ROOMS,AGE_OF_BUİLDİNG,FLOOR_LOCATION,TOTALNUMBER_OF_FLOORS,TYPE_OF_HEATING,NUMBER_OF_BATHROOMS,IS_THERE_BALCONY,IS_IT_FURNISHED,WHO_IS_AT_HOME,ON_BUILDINGS,NAME_OF_BUILDINGS,DUES,AVAILABLE_FOR_CREDIT,TITLE_DEED,WHO_IS_THE_SELLER,IS_IT_VIEWABLE,PRICE,NEW_IS_IT_TWOPLY
464,Daire,Yakuplu Mah.,140.0,130.0,3+1,0,2,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1850000,Hayır
465,Daire,Yakuplu Mah.,125.0,115.0,2+1,4,4,6,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1750000,Hayır
466,Daire,Adnan Kahveci Mah.,220.0,190.0,4+2,0,5,5,Rare,3,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat İrtifaklı,Emlak Ofisinden,Hayır,3850000,Evet
467,Daire,Beylikdüzü OSB,140.0,135.0,3+1,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1290000,Hayır
468,Daire,Adnan Kahveci Mah.,140.0,130.0,2+1,0,Giriş Katı,3,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2219500,Hayır
469,Daire,Marmara Mah.,175.0,155.0,3+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,4000000,Hayır
470,Daire,Adnan Kahveci Mah.,105.0,85.0,2+1,3,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1630000,Hayır
471,Daire,Beylikdüzü OSB,115.0,105.0,2+1,0,Giriş Katı,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,685000,Hayır
472,Daire,Cumhuriyet Mah.,164.0,146.0,3+1,21-25 arası,3,8,Merkezi,2,Var,Hayır,Mülk Sahibi,Evet,Bizimkent Sitesi,500.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,4000000,Hayır
473,Daire,Yakuplu Mah.,95.0,85.0,2+1,4,Giriş Katı,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1279000,Hayır
474,Daire,Barış Mh.,100.0,80.0,1+1,5-10 arası,4,15,Doğalgaz (Kombi),1,Yok,Evet,Boş,Evet,Belirtilmemiş,250.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1830000,Hayır
475,Daire,Kavaklı Mh.,95.0,60.0,1+1,3,Giriş Altı Daireler,4,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat İrtifaklı,Emlak Ofisinden,Evet,849000,Hayır
476,Daire,Adnan Kahveci Mah.,110.0,80.0,2+1,16-20 arası,Yüksek Giriş,12,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Evet,Velittin Küçük Sitesi,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1630000,Hayır
477,Daire,Kavaklı Mh.,150.0,135.0,3+1,5-10 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2800000,Hayır
478,Daire,Gürpınar Mh.,120.0,110.0,2+1,0,2,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1400000,Hayır
479,Daire,Cumhuriyet Mah.,100.0,90.0,2+1,4,3,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,945000,Hayır
480,Daire,Yakuplu Mah.,220.0,200.0,4+1,11-15 arası,5,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2650000,Evet
481,Daire,Barış Mh.,155.0,135.0,3+1,11-15 arası,9,14,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Evet,Belirtilmemiş,250.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2700000,Hayır
